,STATE,COUNTY,STNAME,CTYNAME,POPESTIMATE,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,MEDIAN_AGE_MALE,MEDIAN_AGE_FEM,FIPS
11,13,001,Georgia,Appling County,18386,9157,9229,39.7,37.9,41.2,13001
23,13,003,Georgia,Atkinson County,8165,4146,4019,36.6,35.9,37.4,13003
35,13,005,Georgia,Bacon County,11164,5455,5709,38.6,37.2,39.8,13005
47,13,007,Georgia,Baker County,3038,1494,1544,47.3,46.8,47.9,13007
59,13,009,Georgia,Baldwin County,44890,22737,22153,36.1,35.9,36.3,13009
71,13,011,Georgia,Banks County,19234,9775,9459,41.6,40.9,42.3,13011
83,13,013,Georgia,Barrow County,83240,40830,42410,36.0,35.0,37.0,13013
95,13,015,Georgia,Bartow County,107738,53164,54574,38.3,37.4,39.1,13015
107,13,017,Georgia,Ben Hill County,16700,7886,8814,39.5,37.9,41.0,13017
119,13,019,Georgia,Berrien County,19397,9568,9829,39.8,38.7,40.8,13019
131,13,021,Georgia,Bibb County,153159,71659,81500,36.4,34.4,38.0,13021
143,13,023,Georgia,Bleckley County,12873,6145,6728,38.0,36.5,39.3,13023
155,13,025,Georgia,Brantley County,19109,9495,9614,40.9,39.3,42.4,13025
167,13,027,Georgia,Brooks County,15457,7517,7940,44.0,41.5,46.0,13027
179,13,029,Georgia,Bryan County,39627,19511,20116,34.4,33.5,35.2,13029
191,13,031,Georgia,Bulloch County,79608,39042,40566,29.2,28.1,30.3,13031
203,13,033,Georgia,Burke County,22383,10648,11735,38.3,36.5,39.8,13033
215,13,035,Georgia,Butts County,24936,13182,11754,38.8,36.8,41.8,13035
227,13,037,Georgia,Calhoun County,6189,3747,2442,40.4,38.9,45.1,13037
239,13,039,Georgia,Camden County,54666,28098,26568,33.6,31.5,35.9,13039
251,13,043,Georgia,Candler County,10803,5277,5526,39.7,38.5,40.9,13043
263,13,045,Georgia,Carroll County,119992,58441,61551,35.1,33.9,36.2,13045
275,13,047,Georgia,Catoosa County,67580,32786,34794,41.3,39.4,42.9,13047
287,13,049,Georgia,Charlton County,13392,7822,5570,38.6,37.4,41.8,13049
299,13,051,Georgia,Chatham County,289430,139068,150362,36.4,34.9,37.9,13051
311,13,053,Georgia,Chattahoochee County,10907,6982,3925,25.1,24.4,27.5,13053
323,13,055,Georgia,Chattooga County,24789,12632,12157,40.3,38.6,42.2,13055
335,13,057,Georgia,Cherokee County,258773,127384,131389,39.5,38.4,40.4,13057
347,13,059,Georgia,Clarke County,128331,60822,67509,28.8,28.1,29.4,13059
359,13,061,Georgia,Clay County,2834,1325,1509,48.1,46.3,49.7,13061
371,13,063,Georgia,Clayton County,292256,136504,155752,32.6,30.8,34.3,13063
383,13,065,Georgia,Clinch County,6618,3199,3419,38.1,37.7,38.5,13065
395,13,067,Georgia,Cobb County,760141,368461,391680,37.1,35.8,38.3,13067
407,13,069,Georgia,Coffee County,43273,22227,21046,36.0,34.5,37.6,13069
419,13,071,Georgia,Colquitt County,45600,22520,23080,37.2,35.3,38.9,13071
431,13,073,Georgia,Columbia County,156714,76518,80196,37.1,36.0,38.1,13073
443,13,075,Georgia,Cook County,17270,8289,8981,38.9,37.5,39.8,13075
455,13,077,Georgia,Coweta County,148509,72309,76200,39.1,38.2,39.9,13077
467,13,079,Georgia,Crawford County,12404,6267,6137,44.9,42.7,46.4,13079
479,13,081,Georgia,Crisp County,22372,10609,11763,40.4,38.4,42.1,13081
491,13,083,Georgia,Dade County,16116,7918,8198,42.1,41.1,43.3,13083
503,13,085,Georgia,Dawson County,26108,12891,13217,43.7,42.9,44.7,13085
515,13,087,Georgia,Decatur County,26404,12806,13598,38.5,36.6,40.2,13087
527,13,089,Georgia,DeKalb County,759297,358445,400852,36.2,34.8,37.5,13089
539,13,091,Georgia,Dodge County,20605,10743,9862,42.5,40.5,45.2,13091
551,13,093,Georgia,Dooly County,13390,7308,6082,45.0,43.0,48.1,13093
563,13,095,Georgia,Dougherty County,87956,40419,47537,36.2,33.5,38.1,13095
575,13,097,Georgia,Douglas County,146343,69405,76938,36.8,35.0,38.2,13097
587,13,099,Georgia,Early County,10190,4753,5437,40.6,38.6,42.3,13099
599,13,101,Georgia,Echols County,4006,2075,1931,35.9,35.0,37.1,13101
611,13,103,Georgia,Effingham County,64296,31905,32391,36.0,35.2,36.8,13103
623,13,105,Georgia,Elbert County,19194,9128,10066,42.8,40.7,45.1,13105
635,13,107,Georgia,Emanuel County,22646,11223,11423,37.3,35.6,39.1,13107
647,13,109,Georgia,Evans County,10654,5162,5492,37.5,35.6,39.0,13109
659,13,111,Georgia,Fannin County,26188,12713,13475,53.6,52.8,54.4,13111
671,13,113,Georgia,Fayette County,114421,55435,58986,43.3,41.9,44.6,13113
683,13,115,Georgia,Floyd County,98498,47689,50809,38.2,37.2,39.3,13115
695,13,117,Georgia,Forsyth County,244252,121103,123149,39.0,38.5,39.3,13117
707,13,119,Georgia,Franklin County,23349,11436,11913,40.6,38.6,42.5,13119
719,13,121,Georgia,Fulton County,1063937,514494,549443,35.8,34.7,36.9,13121
731,13,123,Georgia,Gilmer County,31369,15680,15689,48.7,47.8,49.6,13123
743,13,125,Georgia,Glascock County,2971,1470,1501,43.2,41.5,44.7,13125
755,13,127,Georgia,Glynn County,85292,40066,45226,42.6,40.8,44.2,13127
767,13,129,Georgia,Gordon County,57963,28598,29365,38.8,37.3,40.2,13129
779,13,131,Georgia,Grady County,24633,11899,12734,40.0,39.1,40.8,13131
791,13,133,Georgia,Greene County,18324,8952,9372,50.9,49.3,52.4,13133
803,13,135,Georgia,Gwinnett County,936250,456696,479554,35.8,34.6,36.8,13135
815,13,137,Georgia,Habersham County,45328,21646,23682,40.0,38.9,40.9,13137
827,13,139,Georgia,Hall County,204441,101660,102781,37.5,36.3,38.6,13139
839,13,141,Georgia,Hancock County,8457,4735,3722,46.2,41.4,52.7,13141
851,13,143,Georgia,Haralson County,29792,14471,15321,39.0,38.3,39.6,13143
863,13,145,Georgia,Harris County,35236,17641,17595,44.0,42.6,45.2,13145
875,13,147,Georgia,Hart County,26205,12980,13225,44.8,42.7,46.8,13147
887,13,149,Georgia,Heard County,11923,5963,5960,41.5,40.4,42.6,13149
899,13,151,Georgia,Henry County,234561,111667,122894,37.3,35.4,38.6,13151
911,13,153,Georgia,Houston County,157863,76340,81523,35.8,34.4,37.1,13153
923,13,155,Georgia,Irwin County,9416,4968,4448,39.5,37.1,42.7,13155
935,13,157,Georgia,Jackson County,72977,36074,36903,38.0,37.2,38.7,13157
947,13,159,Georgia,Jasper County,14219,6986,7233,41.8,40.2,43.3,13159
959,13,161,Georgia,Jeff Davis County,15115,7468,7647,37.9,37.0,38.6,13161
971,13,163,Georgia,Jefferson County,15362,7429,7933,40.0,37.6,42.8,13163
983,13,165,Georgia,Jenkins County,8676,4619,4057,39.2,36.8,42.4,13165
995,13,167,Georgia,Johnson County,9643,5448,4195,42.5,41.5,44.0,13167
1007,13,169,Georgia,Jones County,28735,13898,14837,41.3,39.9,42.7,13169
1019,13,171,Georgia,Lamar County,19077,9119,9958,37.9,37.1,38.5,13171
1031,13,173,Georgia,Lanier County,10423,5279,5144,37.1,36.1,38.0,13173
1043,13,175,Georgia,Laurens County,47546,22494,25052,39.3,37.6,40.8,13175
1055,13,177,Georgia,Lee County,29992,15064,14928,37.1,35.9,38.1,13177
1067,13,179,Georgia,Liberty County,61435,30839,30596,28.5,27.5,29.8,13179
1079,13,181,Georgia,Lincoln County,7921,3847,4074,48.0,46.6,49.1,13181
1091,13,183,Georgia,Long County,19559,9868,9691,34.0,33.1,34.9,13183
1103,13,185,Georgia,Lowndes County,117406,56663,60743,30.8,29.4,32.2,13185
1115,13,187,Georgia,Lumpkin County,33610,16656,16954,37.3,35.7,39.1,13187
1127,13,189,Georgia,McDuffie County,21312,9988,11324,39.5,37.7,41.0,13189
1139,13,191,Georgia,McIntosh County,14378,6987,7391,51.3,50.4,52.1,13191
1151,13,193,Georgia,Macon County,12947,7083,5864,40.4,38.0,44.7,13193
1163,13,195,Georgia,Madison County,29880,14772,15108,40.7,39.4,41.8,13195
1175,13,197,Georgia,Marion County,8359,4146,4213,45.8,44.9,46.6,13197
1187,13,199,Georgia,Meriwether County,21167,10133,11034,43.2,40.8,45.3,13199
1199,13,201,Georgia,Miller County,5718,2735,2983,42.8,41.2,45.2,13201
1211,13,205,Georgia,Mitchell County,21863,11308,10555,39.4,37.0,42.5,13205
